groupID	ISO3	climada worldmap country names	Region
	NPL	Nepal	Asia
	NLD	Netherlands	Europe
	ANT	Netherlands Antilles	North America
	NCL	New Caledonia	Australia
9	NZL	New Zealand	Australia
	NIC	Nicaragua	North America
	NER	Niger	Africa
	NGA	Nigeria	Africa
	NIU	Niue	Australia
12	-	Golan Heights	Asia
8	NFK	Norfolk Island	Europe
	MNP	Northern Mariana Islands	Asia
11	NOR	Norway	Europe
	OMN	Oman	Asia
	PAK	Pakistan	Asia
	PLW	Palau	Asia
10	UMI	Palmyra Atoll	Australia
	PAN	Panama	North America
	PNG	Papua New Guinea	Asia
	PRY	Paraguay	South America
	PER	Peru	South America
	PHL	Philippines	Asia
7	PCN	Pitcairn	Australia
	POL	Poland	Europe
	PRT	Portugal	Europe
	PRI	Puerto Rico	North America
	QAT	Qatar	Asia
6	REU	Reunion	Europe
	ROU	Romania	Europe
5	RUS	Russia	Asia
	RWA	Rwanda	Africa
	SMR	San Marino	Europe
	STP	Sao Tome and Principe	Africa
	SAU	Saudi Arabia	Asia
	SEN	Senegal	Africa
	SYC	Seychelles	Australia
	SLE	Sierra Leone	Africa
	SGP	Singapore	Asia
	SVK	Slovakia	Europe
	SVN	Slovenia	Europe
	SLB	Solomon Islands	Australia
	SOM	Somalia	Africa
	ZAF	South Africa	Africa
	ESP	Spain	Europe
	LKA	Sri Lanka	Asia
7	SHN	Saint Helena	Africa
	KNA	Saint Kitts and Nevis	North America
	LCA	Saint Lucia	North America
6	SPM	Saint Pierre and Miquelon	North America
	VCT	Saint Vincent and The Grenadines	North America
	SDN	Sudan	Africa
	SUR	Suriname	South America
11	SJM	Svalbard	Europe
	SWZ	Swaziland	Africa
	SWE	Sweden	Europe
	CHE	Switzerland	Europe
	SYR	Syrian Arab Republic	Asia
2	TWN	Taiwan	Asia
	TJK	Tajikistan	Asia
	TZA	Tanzania	Africa
	THA	Thailand	Asia
	TGO	Togo	Africa
	TON	Tonga	Australia
	TTO	Trinidad and Tobago	North America
	TUN	Tunisia	Africa
1	TUR	Turkey	Asia
	TKM	Turkmenistan	Asia
	TCA	Turks and Caicos Islands	North America
	TUV	Tuvalu	Australia
	UGA	Uganda	Africa
	UKR	Ukraine	Asia
	ARE	United Arab Emirates	Asia
7	GBR	United Kingdom	Europe
10	USA	United States (USA)	North America
	URY	Uruguay	South America
	UZB	Uzbekistan	Asia
	VUT	Vanuatu	Australia
	VEN	Venezuela	South America
	VNM	Viet Nam	Asia
	VIR	Virgin Islands (U.S.)	North America
10	UMI	Wake Island	North America
6	WLF	Wallis and Futuna Islands	Australia
	PSE	West Bank	Asia
3	ESH	Western Sahara	Africa
	WSM	Samoa	Australia
	YEM	Yemen	Africa
	COD	Congo (former Zaire)	Africa
	ZMB	Zambia	Africa
	ZWE	Zimbabwe	Africa
1	CYP	Cyprus Turkish part	Europe
	TLS	East Timor	Australia
7	SGS	South Georgia and South Sandwich Islands	Antarctica
5	-	Kuril Islands (administered by Russia. Claimed by Japan)	Asia
4	-	Kashmir and Jammu (claimed by India and Pakistan)	Asia
2	-	Aksai Chin (administered by China. Claimed by India)	Asia
	ATA	Antarctica	Antarctica
	SRB	Serbia	Europe
		Hong Kong	Asia
